poet,wikipedia_link,filename,number_of_poems
Michael Madhusudan Dutt,https://en.wikipedia.org/wiki/Michael_Madhusudan_Dutt,madhusudan.txt,133
Kazi Nazrul Islam,https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam,nazrulislam.txt,399
Rabindranath Tagore,https://en.wikipedia.org/wiki/Rabindranath_Tagore,rabindranath.txt,1408
Jibanananda Das,https://en.wikipedia.org/wiki/Jibanananda_Das,jibanananda.txt,401
Ishwar Chandra Gupta,https://en.wikipedia.org/wiki/Ishwar_Chandra_Gupta,ishwarchandragupta.txt,8
Jatindramohan Bagchi,https://en.wikipedia.org/wiki/Jatindramohan_Bagchi,jatindramohan.txt,14
Kamini Roy,https://en.wikipedia.org/wiki/Kamini_Roy,kaminiroy.txt,17
Satyendranath Dutta,https://en.wikipedia.org/wiki/Satyendranath_Dutta,satyendranath.txt,21
Sukumar Ray,https://en.wikipedia.org/wiki/Sukumar_Ray,sukumar.txt,147
Sukanta Bhattacharya,https://en.wikipedia.org/wiki/Sukanta_Bhattacharya,sukanta.txt,138
